Encoded SMILES,log P,Exact cone angle ($^\circ$)
[Li]<-n1cc2ccccn2c1-c1ccccn1,2.3963,179.40601914476167
[Li]<-P(c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,5.751200000000004,149.1304436104806
[Be]=[C]1C=CNN1c1ccccc1,1.56369,150.9815481602903
[Li]<-[As](c1ccccc1)(c1ccccc1)C(C[N+](=O)[O-])c1ccccc1,2.8953000000000015,179.78889685843288
[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)CCN1c1c(C(C)C)cc(C#C)cc1C(C)C,7.484390000000007,226.31999671933244
[Li]<-N#Cc1c(C(C)C)cc(C(C)C)cc1C(C)C,4.928480000000005,120.12453852701508
[Be]=[C](CCCCCCC)N1Cc2ccccc2C1,4.4014900000000035,161.53840866109786
[Be]=[C](NCc1ccccn1)Nc1c(C)cccc1C,2.8964300000000014,179.39324393825095
[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccn1,2.8398000000000003,158.1266464929939
[Li]<-n1ccccc1-c1ccccc1,2.7486000000000006,172.29631593911336
[Li]<-P1(c2ccccc2)C=CC(C)(C)c2ccccc21,3.9242000000000035,173.59831589896808
[Li]<-O=C(C)C,0.5952999999999999,108.64799251296076
[Li]<-N(C)(C)Cc1ccccc1,1.7482,170.36799628019318
[Be]=[C]1N(Cc2ccccc2OC)CCN1c1c(C)cc(C)cc1C,3.938950000000003,182.16497688119992
[Li]<-n1cccc(C)c1N,0.9722199999999999,152.39219700793024
[Li]<-S=C1NCCN1CCCC,0.9765999999999999,146.32510609135497
[Be]=[C]1N(CCCCC#N)c2ccccc2N1CCCCCC#N,4.087150000000004,184.56966516591706
[Li]<-n1cn(C)c2c(=O)[nH]c(N)nc21,-0.7612000000000001,131.16163095590002
[Li]<-P(CP(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,5.090900000000003,149.05838967778956
[Li]<-n1cn(C)c(-c2ccccc2)c1-c1ccccc1,3.754100000000003,160.09247123240777
[Li]<-P(O)(c1ccccc1)C(C)(C)C,2.499600000000001,155.31561077979364
[Li]<-N1=C(c2ccccc2)ON(C)C1c1ccccc1,3.0090000000000012,176.7561243228755
[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccc1C=O,3.2573000000000016,162.17352701354343
[Li]<-N=CCC,1.04597,109.25239299456858
[Li]<-n1ccn(CCCN2C(=O)c3cccc4cccc(c34)C2=O)c1,2.722600000000001,160.70639399630187
[Li]<-Nc1ccc(C(=O)O)cc1,0.9670000000000001,119.02416925552133
[Li]<-n1c(C)cc(C)n1C(=O)c1ccccc1C,2.4968600000000007,204.39374380641442
[Li]<-n1ccc(N)cc1,0.6638000000000001,125.9803040197829
[Li]<-N#Cc1ccccc1,1.5582799999999999,106.33771735583687
[Li]<-[Se](Cc1c(C)cc(C)cc1C)c1ccccc1,3.141560000000002,144.4976703700275
[Li]<-P(c1ccccc1)(c1ccccc1)c1c(-c2ccccc2)nnn1-c1ccccc1,4.6925000000000034,195.91353467164083
[Li]<-[As](c1ccccc1)(c1ccccc1)c1ccccc1O,1.9083999999999999,156.93062930196103
[Li]<-p1c(OC)c2ccccc2c2ccccc21,4.581700000000002,147.06468312932066
[Li]<-P1(c2ccccc2)C=C(C)C(=C)C1,3.267400000000002,131.32997185214498
[Li]<-P(CC(C)C)CC(C)C,2.9769000000000014,143.04366444837186
[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C=C2C=Cc3cccc(OCc4ccccc4)c3N12,7.7034900000000075,252.99109354486245
[Li]<-n1n[nH]c(-c2ccc(C=O)cc2)n1,0.6792,101.13327436014659
[Be]=[C]1N(c2c(C)cccc2C)CCN1c1c(C)cccc1C,4.243170000000004,185.37556731932884
[Li]<-P(C(F)=C(F)F)(c1ccccc1)c1ccccc1,4.154400000000003,166.88492818132704
[Be]=[C]1N(C)C=CN1CCCN1C(=O)c2cccc3cccc(c23)C1=O,2.5407900000000003,188.85087769570467
[Li]<-n1c(-c2cc3cccc(OC)c3oc2=O)[nH]c2ccccc21,3.344900000000001,202.2321221865646
[Be]=[C](N(c1ccccc1)C12CC3CC(CC(C3)C1)C2)N(c1ccccc1)C12CC3CC(CC(C3)C1)C2,7.933490000000008,248.60005331410017
[Be]=[C]1N(CCCC)c2ccccc2N1CC(N)=O,1.59469,182.1788314655984
