log P,Ligand coordination bulkiness (Å$^3$)
2.8676900000000005,1.8387783689363106
-0.3835999999999994,7.265125695775816
1.17512,7.604689973726825
1.4005999999999998,5.890699853781306
1.99022,9.318680093672345
0.5820000000000001,10.942682433648438
2.3923000000000005,11.98938570760087
2.645010000000001,8.187040720737459
0.76152,9.318680093672345
3.140900000000001,7.604689973726825
1.2484,1.8387783689363106
2.8306000000000013,7.140337446785025
2.38079,6.3810312575731905
2.9845000000000006,5.176770828857923
3.6366200000000015,4.051921484844995
0.5277000000000001,5.765911604790515
1.7998,12.114173956591662
1.7801199999999997,7.604689973726825
1.16109,6.800773168834016
1.8739,9.318680093672345
3.062640000000002,1.8387783689363106
-0.90401,6.925561417824807
3.994500000000002,2.7393012423221075
1.0538999999999998,7.604689973726825
2.16143,6.800773168834016
1.0539,7.604689973726825
0.0837999999999994,7.604689973726825
1.12629,6.675984919843224
3.228400000000001,11.157458462608655
1.5585,6.800773168834016
1.9603,7.094960282496573
1.181,9.443468342663136
2.03479,1.8387783689363106
0.43269,6.675984919843224
0.3759899999999999,7.17513791580639
1.0538999999999998,7.604689973726825
0.7014,4.301497982826578
2.6348000000000003,7.265125695775816
-0.7930099999999991,6.800773168834016
1.3188,8.219809626509502
0.4336999999999998,1.8387783689363106
2.2362200000000003,9.318680093672345
1.12629,6.675984919843224
1.4309,5.765911604790515
1.7654999999999998,7.604689973726825
0.4432999999999994,7.604689973726825
0.6159000000000001,5.00660541557868
1.096,2.3379313648994757
1.2405,2.2131431159086845
2.1436,7.265125695775816
0.944,1.8387783689363106
3.415740000000002,11.032670213617864
-0.5821099999999999,6.800773168834016
3.2862800000000023,1.8387783689363106
0.6958900000000001,6.675984919843224
1.6103900000000002,5.4263473268395055
2.4148000000000005,7.265125695775816
1.93772,4.176709733835787
3.472690000000001,1.8387783689363106
0.76152,7.604689973726825
1.87992,7.140337446785025
0.0389999999999994,7.604689973726825
0.9806,7.604689973726825
2.8516400000000006,9.318680093672345
1.53858,1.8387783689363106
3.2499900000000013,1.8387783689363106
1.1013,7.389913944766607
1.8871,12.204161736561089
3.6644200000000025,8.24752266250437
1.5776,1.8387783689363106
1.3533000000000002,8.979115815721336
3.142900000000002,6.970172033505783
1.6923999999999997,7.389913944766607
3.338160000000002,4.176709733835787
3.004500000000001,3.6775567378726213
1.2611,7.140337446785025
1.4453999999999998,2.2131431159086845
2.975820000000001,9.443468342663136
1.75412,2.3379313648994757
0.60729,7.050349666815598
1.0900000000000003,5.890699853781306
1.8602,3.337992459921612
1.6761,7.729478222717616
0.7629000000000001,7.604689973726825
1.1506,1.8387783689363106
1.2611,7.265125695775816
1.5162999999999998,3.8023449868634125
2.977400000000001,3.737569535136596
2.2799900000000006,6.675984919843224
2.366390000000001,1.8387783689363106
1.55929,6.800773168834016
0.30089,1.8387783689363106
0.4485,2.462719613890267
2.5763000000000007,2.3379313648994757
3.8415000000000017,3.6775567378726213
1.7731,1.963566617927102
2.357970000000001,3.9271332358542037
1.4071999999999998,8.639551537770327
1.0486799999999998,2.0883548669178933
0.7213999999999999,6.800773168834016
1.5757199999999998,6.800773168834016
2.4137900000000005,6.845383784514992
0.6355000000000002,7.604689973726825
1.3433799999999998,10.693105935666855
2.4090000000000007,1.8387783689363106
0.7736,7.604689973726825
1.0539,7.604689973726825
2.1747000000000005,8.808950402442093
2.08798,3.6775567378726213
2.6863,7.140337446785025
1.81829,10.353541657715846
1.57572,7.265125695775816
2.4556000000000004,10.49017161661557
1.9017,5.256181913560263
3.328000000000002,4.176709733835787
1.72629,7.265125695775816
2.967490000000001,1.8387783689363106
1.9351,5.890699853781306
1.5486,7.604689973726825
2.3923000000000005,2.0883548669178933
2.05419,3.6775567378726213
2.5795000000000003,9.318680093672345
2.0961,9.443468342663136
2.3013200000000005,8.854327566730545
2.0575900000000003,6.675984919843224
1.0964,7.389913944766607
1.80879,6.675984919843224
2.22874,4.88181716658789
0.9255,7.389913944766607
1.1945,2.3379313648994757
1.0194,2.3379313648994757
1.7501799999999998,12.204161736561089
1.6161999999999996,7.0155491977942335
2.982600000000001,2.658097355412119
2.5539000000000005,7.265125695775816
0.7213999999999998,6.800773168834016
1.78012,7.604689973726825
1.44811,8.639551537770327
2.851640000000001,9.318680093672345
2.0594,5.176770828857923
1.5487000000000002,5.176770828857923
1.5134999999999998,3.837145455884777
0.5526200000000001,2.462719613890267
1.46066,1.8387783689363106
1.22747,5.765911604790515
1.42044,2.0883548669178933
